route_id,route_short_name,agency_id,route_type,route_long_name
113K/L,113K/L,TGSRTC,3,113K-KPHB IV PHASE-TO-UPPAL-MYP2 DEPOT
113KP,113KP,TGSRTC,3,113KP-KPHB IV PHASE-TO-CHENGICHERLA-CGCL
113M,113M,TGSRTC,3,113M-MEHDIPATNAM-TO-AMBEDKARNAGAR-UPL
113M/217,113M/217,TGSRTC,3,113M/217-UPPAL DEPOT-TO-PATANNCHERUVU-UPL
113M/G,113M/G,TGSRTC,3,113M/G-UPPAL BUSSTAND-TO-KOKAPET(GAR)-UPL
113M/P,113M/P,TGSRTC,3,113M/P-MEHDIPATNAM-TO-PATEL NAGAR-UPL
113M/W,113M/W,TGSRTC,3,113M/W-WAVEROCK-TO-UPPAL BUSSTAND-UPL
113T/L,113T/L,TGSRTC,3,113T/L-IVTH PHASE-TO-UPPAL
113Y/K,113Y/K,TGSRTC,3,113Y/K-KONDAPUR-TO-UPPAL BUS STAND-UPL
113Z/IM,113Z/IM,TGSRTC,3,113I/M-UPPAL BUSSTAND-TO-MEHDIPATNAM-UPL
113Z/M,113Z/M,TGSRTC,3,113M-SILVER-UPPAL-TO-MEHDPATNAM
115,115,TGSRTC,3,115-KOTI-TO-BALAJI HILLS(Via.BODUPPAL)-UPL
115R,115R,TGSRTC,3,2-SILVER-SECUNDERABAD-TO-AFZALGUNJ-KCG
115RR,115RR,TGSRTC,3,115RR -BODUPPAL TO KOTI
116,116,TGSRTC,3,116M-KOTI-TO-MEHDIPATNAM-MP
116/220K,116/220K,TGSRTC,3,116g/220k-journalist colony-cbs
116G/220K,116G/220K,TGSRTC,3,116G/220K-KOLLUR -TO-CBS-FQNR
116H,116H,TGSRTC,3,116H-MEHDIPATNAM DEPOT-TO-HAKIMPET KUNTA-MP
116N,116N,TGSRTC,3,116N/220K-BARKATHPURA-KOTI-TO-GOWLIDODDY-KOLLUR-BKP
116N/220K,116N/220K,TGSRTC,3,BKP-PATANCHERUVU-KOTI-BARKATHPURA
116N/L,116N/L,TGSRTC,3,116N/L-BKP-BARKATHPURA-KOTI-GOWLIDODDY-TO-LINGAMPALLY
117,117,TGSRTC,3,117-KUSHAIGUDA-TO-BANDLAGUDA DEPOT-BDG
117B,117B,TGSRTC,3,117B-BANDLAGUDA DEPOT-TO-KUSHAIGUDA-BDG
118DL,118DL,TGSRTC,3,118DL-MANIKONDA-CBS DOWN
118M,118M,TGSRTC,3,118M_MANIKODA CBS HCU
118X,118X,TGSRTC,3,118X-TALLAGADDA-TO-MEHDIPATNAM DEPOT-MP
120,120,TGSRTC,3,120C-CBIT-TO-MEHDIPATNAM-MP
120C,120C,TGSRTC,3,120C-MEHDIPATNAM-TO-CBIT-MP
120K/49M,120K/49M,TGSRTC,3,120K/49M-GAR-TO-SECUNDERABAD-MDCL
120K/5K,120K/5K,TGSRTC,3,120K/5K-GAR-TO-SECUNDERABAD
120M,120M,TGSRTC,3,120M-VYAS NAGAR-TO-MEHDIPATNAM-MP
1/25S,1/25S,TGSRTC,3,1/25S-AFZALGUNJ-TO-MEDCHAL-FQNR
126/300D,126/300D,TGSRTC,3,KP-JNTU-TO-KUKATPALLY DEPOT
126/300L,126/300L,TGSRTC,3,126/300D-JNTU-TO-DILSUKHNAGAR-DSNR
126M,126M,TGSRTC,3,19Y/F-MEHDIPATNAM DEPOT-TO-BORABANDA-MP
127K,127K,TGSRTC,3,127K-KONDAPUR-TO-BARKATHPURA DEPOT-BKP
127K/H,127K/H,TGSRTC,3,127K/H-LINGAMPALLY-AUTO NAGAR-TO-HAYATHNAHGAR-HYT1
127K/L,127K/L,TGSRTC,3,127K/L-KONDAPUR-TO-LB NAGAR X ROAD-HYT2
127KL,127KL,TGSRTC,3,127K-SILVER ROUTE-KONDAPUR-TO-KOTI
127K/V,127K/V,TGSRTC,3,127K/V-NGOSCOLONY-TO-KONDAPUR-HYT2
